Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_6, R_7, R_14",1.0,1.0,1.0,1,59.44399945640699,9769,4191,0.35,0.0004357809796562624,40,40,False
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_5, R_12, R_14",1.0,1.0,1.0,1,50.8900225505913,9966,4221,0.3,0.00037307220383260553,89,89,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_15",1.0,1.0,1.0,10,41.51556797922576,9973,4260,0.25,0.003043485473792965,184,184,False
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_0, R_1, R_8, R_9",0.0,1.0,1.0,1,55.967155320684434,9971,4287,0.35,0.0004102924096166837,36,36,False
"1.0, 0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_7, R_10, R_12",1.0,0.06083437548107368,0.7558139534883721,1,50.35526443757947,9904,4324,0.3,0.003929360825046805,65,86,False
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_1, R_7, R_8",0.0,0.15379797001167692,0.8292682926829268,1,37.5689545669366,9529,4336,0.3,0.00027541612232614765,68,82,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_6, R_15",1.0,1.0,1.0,3,45.67745302470345,9973,4389,0.3,0.0010045773539466684,84,84,False
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_7, R_8, R_13, R_15",0.0,1.0,1.0,1,43.982538847004605,9822,4396,0.4,0.00032243378712384826,26,26,False
"1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_13",0.0,1.0,1.0,12,45.34051461185118,9867,4450,0.25,0.003988668472449218,194,194,False
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_14, R_15",0.0,1.0,1.0,10,56.69597147615849,9967,4484,0.25,0.004156353243116263,184,184,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_1, R_6, R_7",1.0,1.0,1.0,2,52.058584480502574,9895,4485,0.3,0.0007632777455046071,86,86,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_6, R_7, R_9",1.0,1.0,1.0,4,55.46982849106597,9994,4485,0.3,0.0016265861262534011,98,98,False
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, A_3, R_2, R_3, R_9, R_10",0.0,0.30794614765743855,0.8888888888888888,1,42.54312439267308,9601,4533,0.35,0.0003118815119274261,40,45,False
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_3, R_0, R_4, R_9, R_11",0.0,0.08557606707582172,0.782051282051282,1,54.32953633103206,9947,4566,0.3,0.0003982871069092547,61,78,False
"0.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_1, A_3, R_1, R_3, R_11, R_13",0.0,0.23234333100485846,0.8641975308641975,1,54.32047313535933,9823,4600,0.3,0.00039822066507618165,70,81,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_6, R_7, R_14",1.0,1.0,1.0,4,61.02177186474682,9994,4610,0.3,0.0017893902003065284,85,85,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_13, R_15",1.0,1.0,1.0,3,43.10212225925876,9963,4618,0.25,0.0009479384917822501,190,190,False
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_1, A_2, A_3, R_1, R_6, R_12, R_14",1.0,1.0,1.0,2,53.54411823259265,9769,4647,0.35,0.0007850584924165978,33,33,False
"0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_3, R_1, R_3",0.0,1.0,1.0,4,57.193733352800834,9923,4648,0.25,0.0016771375666915188,156,156,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_5, R_15",1.0,1.0,1.0,3,43.96150332031297,9973,4659,0.3,0.0009668387301970061,88,88,False
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_4, R_9",0.0,1.0,1.0,4,52.88185378795177,9998,4665,0.3,0.0015506968750750184,78,78,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_1, A_2, R_0, R_2, R_3, R_10, R_12",0.0,0.24718470612186558,0.8695652173913043,1,49.30023449145353,9567,4688,0.35,0.0003614175472786678,40,46,False
"0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_3",0.0,1.0,1.0,10,58.10690825732132,9898,4690,0.25,0.00425978831113841,153,153,False
"1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_12, R_14",0.0,1.0,1.0,4,52.832156385604094,9918,4726,0.25,0.0015492395584153394,163,163,False
"0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, R_1, R_2, R_5, R_6, R_15",0.0,0.08749087064238434,0.7837837837837838,1,41.60516806461229,9978,4737,0.35,0.00030500540111296333,29,37,False
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_6, R_12",1.0,1.0,1.0,2,43.79314306968284,9989,4753,0.3,0.0006420906723521717,77,77,False
"1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_3, R_12, R_13, R_14",0.0,1.0,1.0,3,52.4163916638111,9918,4756,0.3,0.0011527858178210105,69,69,False
"0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_7",1.0,1.0,1.0,8,53.1126686982603,9994,4814,0.25,0.0031149304904304126,192,192,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_2, A_3, R_2, R_4",1.0,0.1260771643274054,0.8129496402877698,1,43.4369310772801,9975,4848,0.25,0.000318433963919271,113,139,False
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_10, R_14, R_15",1.0,1.0,1.0,1,48.73368880280865,9973,4866,0.3,0.00035726422924025497,75,75,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_7, R_13",1.0,1.0,1.0,2,60.407953236692805,9994,4903,0.3,0.0008856953529790922,100,100,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_1, R_7",1.0,1.0,1.0,1,55.011737101698245,9934,4903,0.3,0.00040328828655533796,98,98,False
"1.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_5, R_11",0.0,1.0,1.0,4,49.61770716591961,9972,4912,0.3,0.0014549796941518871,80,80,False
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_11, R_14",1.0,1.0,1.0,3,38.144072811462955,9997,4946,0.3,0.0008388968560257697,74,74,False
"1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_3, R_6, R_13",1.0,0.06687723062954554,0.7630057803468208,1,41.57391413934038,9963,4953,0.25,0.0003047762801537808,132,173,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_2, R_12, R_13, R_15",1.0,0.38554328942953164,0.9090909090909091,1,51.357885765355775,9886,4988,0.35,0.00037650208560266896,40,44,False
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0","A_1, A_2, A_3, R_2, R_11, R_15",0.0,0.10737418240000006,0.8,1,45.519306203405435,9972,4995,0.3,0.00033369975156433373,64,80,False
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_2, A_3, R_2, R_3, R_8, R_10, R_13",0.0,0.08101311022241207,0.7777777777777778,1,45.31566587483407,9699,5002,0.35,0.00033220687452554306,28,36,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_11, R_14",1.0,0.08262365683643919,0.7793103448275862,1,38.748937804224816,9997,5004,0.25,0.0002840665202775931,113,145,False
"1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, A_3, R_1, R_2, R_5, R_15",0.0,0.08749087064238434,0.7837837837837838,1,39.59195398081652,9978,5010,0.35,0.00029024662960167415,29,37,False
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, A_3, R_0, R_3, R_6, R_8, R_12",0.0,1.0,1.0,1,53.3370442817536,9971,5025,0.4,0.0003910111974568162,17,17,False
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_1, A_2, A_3, R_0, R_8, R_9, R_12",0.0,1.0,1.0,1,52.04217131538572,9915,5039,0.35,0.0003815185486617429,29,29,False
"1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, A_3, R_10, R_14",1.0,1.0,1.0,5,56.49272374758474,9966,5053,0.25,0.0020707266270186715,175,175,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_6, R_9",0.0,1.0,1.0,2,52.26809643645022,9832,5059,0.35,0.0007663495887940049,46,46,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, A_3, R_7, R_12, R_13",1.0,0.12086380610771207,0.8095238095238095,1,58.70935659178126,9994,5087,0.3,0.00043039534964866405,68,84,False
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_7",1.0,1.0,1.0,3,55.75188867036718,9994,5087,0.3,0.0012261429017882573,105,105,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_2, R_5, R_8, R_9, R_12, R_14, R_15",0.0,1.0,1.0,1,67.33333333333333,9698,5101,0.5,0.0004936172907585051,3,3,False
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, A_3, R_0, R_1, R_14, R_15",0.0,0.11275525882764238,0.803921568627451,1,58.12627054880485,9921,5120,0.35,0.0004261207751019346,41,51,False
"1.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_1, A_2, A_3, R_6, R_12, R_14",1.0,1.0,1.0,2,40.35451011391403,9964,5122,0.3,0.0005916737807618892,76,76,False
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_1, R_11, R_13",0.0,1.0,1.0,2,59.7642949391252,9923,5128,0.35,0.0008762580995626698,46,46,False
"1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_5, R_11, R_15",0.0,1.0,1.0,2,57.32783138542679,9868,5131,0.35,0.000840534915253508,40,40,False
"0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_6",0.0,1.0,1.0,9,34.7146548965407,9958,5147,0.25,0.0022904225509429014,151,151,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_1",1.0,1.0,1.0,14,49.3707080993732,9991,5163,0.25,0.005067078600709637,146,146,False
"0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_2, R_10",1.0,0.2308390090569343,0.8636363636363636,2,58.8317670100771,9957,5166,0.25,0.0008625854685757382,114,132,False
"0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_2, A_3, R_1, R_3, R_7, R_8, R_9",0.0,9.5367431640625e-07,0.25,1,56.686542045184005,9316,5177,0.4,0.00041556619762591804,4,16,False
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_9, R_13",0.0,1.0,1.0,9,54.999550954383416,9998,5178,0.25,0.003628790554683176,152,152,False
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_1, A_3, R_0, R_2, R_7, R_10, R_12, R_15",1.0,0.0031712119389339932,0.5625,1,36.157436489728,9826,5213,0.4,0.000265068354071766,9,16,False
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_2, R_0, R_1, R_9, R_11, R_13",0.0,0.17680334438718975,0.8409090909090909,1,56.94826161089794,9923,5222,0.35,0.0004174848506402676,37,44,False
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_4, R_14",0.0,1.0,1.0,4,45.75865961213661,9984,5224,0.3,0.0013418177576128812,82,82,False
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_4, R_7, R_9",1.0,0.07650103338816089,0.7733333333333333,1,45.43864359399227,9604,5225,0.3,0.0003331084180189272,58,75,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_6, R_9, R_10",0.0,1.0,1.0,1,48.88986695266625,9460,5229,0.4,0.0003584091634265181,22,22,False
"0.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_2, A_3, R_0, R_4, R_11, R_12",0.0,0.23496716951604493,0.8651685393258427,1,47.413618332335076,9929,5246,0.3,0.0003475868588059163,77,89,False
"1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, A_3, R_8, R_14",1.0,0.079408942631069,0.7762237762237763,1,42.197586569094106,9966,5268,0.25,0.00030934839146708486,111,143,False
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_1, A_3, R_2, R_3, R_7, R_11",0.0,0.12236894022116081,0.8105263157894737,1,50.490000484284614,9864,5270,0.3,0.00037013966212051755,77,95,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_7, R_12, R_13",1.0,1.0,1.0,1,62.33282746810562,9994,5273,0.35,0.00045695883297213304,50,50,False
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_6, R_8, R_9, R_12",0.0,1.0,1.0,1,64.01586546961482,9998,5274,0.35,0.0004692971001783001,42,42,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_10, R_14, R_15",0.0,1.0,1.0,3,58.282813361693165,9967,5275,0.3,0.0012818051478437782,80,80,False
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_6, R_11, R_14, R_15",0.0,1.0,1.0,1,55.22170725975967,9910,5275,0.35,0.00040482756725676,30,30,False
"0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_3, R_0, R_7, R_8, R_10, R_13",0.0,0.0023312328394264987,0.5454545454545454,1,34.250688000000004,9691,5279,0.4,0.0002510900764926957,6,11,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_3, R_5, R_12, R_13, R_14",0.0,0.12816462070164994,0.8142857142857143,1,42.8298226143392,9896,5286,0.3,0.00031398328221620005,57,70,False
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_10, R_12, R_14",1.0,1.0,1.0,2,56.67594948358923,9966,5293,0.3,0.0008309770881758974,73,73,False
"0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_2, A_3, R_1, R_2, R_7, R_9, R_15",1.0,0.3486784401000001,0.9,1,48.72607471164457,9942,5296,0.4,0.0003572084107196807,18,20,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_7, R_15",1.0,1.0,1.0,1,37.75977339877985,9901,5303,0.3,0.0002768150056152591,71,71,False
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_1, R_3",1.0,1.0,1.0,2,56.42531508773008,9942,5328,0.3,0.0008273023117960491,57,57,False
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_3, R_14",0.0,0.2860377655391561,0.8823529411764706,2,53.26276636740931,9736,5336,0.35,0.0007809333395816972,30,34,False
"0.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, R_2, R_3, R_10",0.0,0.3355471084868285,0.896551724137931,1,43.67327130428254,9903,5337,0.25,0.0003201665622739769,130,145,False
"0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_3",0.0,1.0,1.0,7,48.91877397983272,9758,5346,0.25,0.0025103475557534966,139,139,False
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_3, R_7, R_8, R_11",0.0,0.11095897271991688,0.8026315789473685,1,37.947282774270725,9846,5377,0.3,0.00027818962744577825,61,76,False
"0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, A_3, R_2, R_7",1.0,0.09126018084309234,0.7870967741935484,1,48.8975036782578,9904,5392,0.25,0.00035846514787894534,122,155,False
