A_0,A_1,A_2,A_3,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
0.0,0.0,#,1.0,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,0.06126330504484689,0.7563451776649747,1,38.64944145706687,9920,3383,0.25,0.0030707251030793023,149,197,False
0.0,#,0.0,0.0,1.0,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,1.0,0.04918025901200659,0.7399103139013453,1,46.08178035952876,9881,3446,0.25,0.004560753265107272,165,223,False
1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,0.0880842279823248,0.7843137254901961,1,35.216969157446705,9954,3447,0.25,0.0002749490028443315,160,204,False
1.0,1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,5,43.20834457046645,9767,3471,0.3,0.001686699840791377,108,108,False
1.0,1.0,#,#,#,#,0.0,1.0,#,0.0,#,#,1.0,#,#,#,#,0.0,#,0.0,0.0,0.08966986063941502,0.7857142857142857,1,47.04766386172828,9625,3529,0.4,0.00036731463764258087,22,28,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,#,#,#,0.0,1.0,1.0,4,43.95892757134728,9945,3601,0.3,0.0013727999417340454,99,99,False
1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,#,#,0.0,1.0,1.0,8,46.177548797936005,9910,3604,0.25,0.00288417119350051,195,195,False
#,0.0,1.0,0.0,#,#,0.0,0.0,#,#,#,0.0,#,0.0,#,#,#,#,1.0,#,0.0,0.12899983851278393,0.8148148148148148,1,47.594939818786905,9067,3628,0.4,0.00037158737837734475,22,27,False
1.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,1.0,1.0,2,42.17820729005583,9883,3633,0.3,0.0006585947805057031,112,112,False
0.0,#,1.0,1.0,#,#,#,1.0,#,1.0,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,3,49.610815254896835,9564,3673,0.3,0.0011619776923714005,87,87,False
0.0,1.0,#,#,#,#,#,0.0,#,#,0.0,0.0,#,#,#,1.0,#,#,#,#,0.0,0.17680334438718975,0.8409090909090909,1,45.221185427573126,9916,3684,0.3,0.00035305479540736546,74,88,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,0.09821570480066397,0.7928994082840237,1,43.761652564968834,9938,3725,0.25,0.0003416598027435312,134,169,False
0.0,0.0,#,0.0,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,0.0,1.0,1.0,3,52.50769860649988,9894,3762,0.3,0.0012298280958503594,124,124,False
0.0,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,14,44.16539439969451,9991,3769,0.25,0.004827367038482608,177,177,False
#,#,1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,#,#,#,#,#,#,1.0,1.0,0.07098493022859097,0.7675675675675676,1,42.90247714951188,9978,3804,0.25,0.0003349519732681403,142,185,False
0.0,0.0,#,0.0,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,0.0,0.0,1.0,1.0,1,52.06687175732544,9861,3867,0.35,0.00040650103667064783,61,61,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,0.0643801504187833,0.7601078167115903,1,38.99916069146322,9956,3879,0.2,0.0003044776595039925,282,371,False
0.0,1.0,1.0,1.0,#,#,#,1.0,#,#,#,0.0,#,1.0,#,#,1.0,#,#,#,0.0,1.0,1.0,1,50.32611037609984,9300,3901,0.4,0.0003929104121107063,19,19,False
1.0,#,1.0,1.0,#,#,#,#,0.0,#,#,0.0,#,#,0.0,0.0,#,#,#,#,0.0,0.14121866542547593,0.8222222222222222,1,57.195743728359936,9900,3936,0.35,0.00044654361466330824,37,45,False
1.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,12,46.241921932885774,9985,3941,0.25,0.004332287745107308,186,186,False
1.0,1.0,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,1,58.30876434297342,9734,4052,0.3,0.00045523328658723223,89,89,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,1.0,#,#,1.0,#,#,#,1.0,1.0,1.0,3,42.50809837263286,9928,4079,0.3,0.0009956188343277232,94,94,False
1.0,#,1.0,1.0,#,#,1.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,1.0,1.0,3,52.85617980843327,9856,4084,0.3,0.0012379901746385606,108,108,False
#,0.0,1.0,0.0,#,#,#,#,#,#,#,0.0,#,0.0,0.0,0.0,#,1.0,#,0.0,0.0,0.03457161303360778,0.7142857142857143,1,51.016,8742,4090,0.45,0.00039829657874293305,5,7,False
0.0,1.0,1.0,1.0,#,#,#,1.0,#,#,#,0.0,#,#,#,#,1.0,#,#,#,0.0,1.0,1.0,2,46.63502043760273,9888,4268,0.35,0.0007281860235966728,43,43,False
0.0,0.0,0.0,0.0,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,50.284721683288055,9951,4288,0.3,0.0003925872786869652,92,92,False
0.0,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,1.0,0.0,1.0,1.0,2,50.153901780134724,9867,4356,0.35,0.0007831318601864811,44,44,False
#,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,3,44.66135451448186,9858,4361,0.25,0.0010460521035641783,169,169,False
0.0,0.0,#,0.0,0.0,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,0.0,1.0,1.0,2,52.90241137612967,9894,4411,0.3,0.0008260486693728897,104,104,False
1.0,0.0,0.0,0.0,#,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,3,52.169664061235416,9860,4414,0.3,0.0012219106972180228,70,70,False
0.0,#,1.0,1.0,#,#,#,0.0,#,#,#,0.0,#,#,#,#,#,0.0,#,#,0.0,1.0,1.0,3,50.16597252031833,9957,4427,0.3,0.0011749805094963218,98,98,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,9,44.26255311522999,9928,4494,0.25,0.0031101342961034014,172,172,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1.0,7,56.64081977167884,9997,4504,0.25,0.003095478146577218,187,187,False
#,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,0.0,1.0,#,1.0,#,#,#,1.0,1.0,1.0,1,49.97987153624374,9845,4509,0.35,0.0003902072259467066,57,57,False
#,1.0,1.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,4,51.220950135487925,9957,4512,0.25,0.001599586733489667,155,155,False
0.0,0.0,#,0.0,#,#,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.10895434837346209,0.8011695906432749,1,50.1502349531163,9989,4515,0.25,0.0003915373021205207,137,171,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,1.0,1.0,1.0,1,48.689472754289945,9930,4527,0.3,0.00038013271167537514,97,97,False
1.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,0.0,#,#,0.0,0.0,0.056313514709472656,0.75,1,31.022223859170015,9876,4563,0.25,0.0026813804171121726,120,160,False
1.0,0.0,0.0,1.0,#,#,1.0,#,#,#,#,0.0,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,1,48.30920807925701,9482,4576,0.35,0.0003771638760339605,40,40,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,1.0,#,0.0,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,1,57.531848532994296,9534,4612,0.4,0.0004491676815008676,21,21,False
0.0,0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,5,50.05702283374541,9953,4632,0.3,0.001954047841533801,81,81,False
0.0,0.0,0.0,0.0,1.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,50.76245537457721,9833,4643,0.3,0.0003963170829599521,86,86,False
0.0,0.0,#,0.0,#,#,1.0,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.17009435261398345,0.8376623376623377,1,39.70837469989516,9973,4670,0.25,0.00031001469716188416,129,154,False
1.0,#,1.0,#,0.0,#,#,#,#,#,#,#,#,0.0,0.0,0.0,#,#,#,#,0.0,0.13234162057267776,0.8169014084507042,1,47.7887982996825,9900,4672,0.3,0.000373100887270653,58,71,False
1.0,1.0,#,#,#,#,0.0,1.0,#,#,#,#,1.0,#,#,#,#,0.0,#,0.0,0.0,0.0773562625552248,0.7741935483870968,1,47.20524150982731,9625,4694,0.35,0.0003685448916437609,24,31,False
#,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.1004715234561574,0.7947019867549668,1,46.630994534616875,9867,4704,0.25,0.00036406158041630686,120,151,False
0.0,1.0,#,1.0,#,#,#,#,#,0.0,#,0.0,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,3,47.763134139138685,9854,4706,0.3,0.001118701559373063,89,89,False
1.0,1.0,0.0,#,#,#,#,#,1.0,#,#,#,1.0,#,#,#,1.0,#,#,#,1.0,0.11053667456626826,0.8023255813953488,1,31.470246228347765,9983,4737,0.3,0.0002456972597802377,69,86,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,#,1.0,1.0,1.0,1.0,5,57.64860736888812,9997,4745,0.3,0.002250396256500194,104,104,False
0.0,#,0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,5,54.340495309185755,9942,4768,0.25,0.0021212593469543957,144,144,False
0.0,0.0,#,0.0,#,#,0.0,#,1.0,#,#,#,#,#,#,#,#,#,0.0,#,0.0,0.08783430836422548,0.7840909090909091,1,48.44808161264768,9989,4771,0.3,0.00037824810163431026,69,88,False
0.0,#,1.0,1.0,#,#,#,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,8,51.02149160987223,9957,4779,0.25,0.0031867156265600396,167,167,False
0.0,0.0,1.0,0.0,#,#,0.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,3,49.25006696999709,9989,4795,0.35,0.0011535282956529427,33,33,False
0.0,1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,0.0,#,0.0,#,0.0,#,0.0,#,0.0,0.00030072865982171734,0.4444444444444444,1,52.645439999999994,9960,4816,0.45,0.00041101808527552837,4,9,False
1.0,0.0,0.0,#,#,#,#,#,0.0,#,#,#,0.0,0.0,#,#,#,0.0,#,#,0.0,1.0,1.0,2,48.81199921711491,9988,4819,0.35,0.0007621786219923003,36,36,False
#,#,0.0,0.0,#,#,#,#,1.0,#,#,#,#,#,1.0,0.0,1.0,#,#,#,1.0,0.16976499972415734,0.8375,1,46.820437048955704,9977,4865,0.3,0.0003655406125891471,67,80,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,#,0.0,#,0.0,0.0,1.0,1.0,2,58.44451898704615,9889,4879,0.35,0.0009125863242440362,45,45,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,3,59.10779209551279,9970,4944,0.3,0.0013844145778985806,81,81,False
0.0,#,#,0.0,#,#,1.0,#,1.0,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,0.10354663442006004,0.7971014492753623,1,41.888827970831414,9968,4960,0.3,0.00032703812271313765,55,69,False
0.0,0.0,1.0,1.0,#,1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1.0,3,40.719035485786314,9974,4963,0.35,0.0009537156494257158,43,43,False
0.0,1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,1.0,2,49.89968559505702,9960,5030,0.3,0.0007791623825019301,97,97,False
1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,7,56.04594933672132,9954,5035,0.25,0.003062967875029619,156,156,False
#,1.0,1.0,#,#,#,#,#,#,1.0,#,#,0.0,1.0,0.0,#,1.0,#,1.0,#,1.0,0.00014011711490649216,0.4117647058823529,1,48.8235536605184,9984,5070,0.4,0.0003811795198576228,7,17,False
1.0,0.0,#,1.0,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,#,#,#,1.0,1.0,1.0,7,47.8018516257208,9919,5077,0.25,0.0026124195883784175,149,149,False
0.0,1.0,#,1.0,0.0,#,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,4,51.398501802394634,9916,5087,0.3,0.001605131521123276,75,75,False
1.0,#,0.0,1.0,1.0,#,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,0.0,1.0,0.10737418240000006,0.8,1,43.5908988962979,9844,5088,0.35,0.0003403266797617326,36,45,False
0.0,1.0,0.0,0.0,#,#,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,2,48.18431304311548,9948,5096,0.3,0.0007523775691607097,99,99,False
0.0,1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,15,48.58718441699539,9960,5115,0.25,0.005690011758284034,178,178,False
1.0,1.0,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,1.0,#,1.0,0.08676661257982447,0.7831325301204819,1,44.4440966145764,9993,5122,0.25,0.00034698783963670526,130,166,False
1.0,0.0,#,1.0,#,#,#,1.0,#,#,#,1.0,#,#,#,0.0,#,0.0,#,#,0.0,0.21405831560130767,0.8571428571428571,1,46.24336687655451,9985,5132,0.35,0.00036103525984957534,30,35,False
#,0.0,1.0,1.0,#,#,#,#,1.0,#,#,#,#,#,#,0.0,#,#,#,#,0.0,0.1372399501833941,0.8198757763975155,1,46.361346182972476,9985,5143,0.25,0.00036195635821300524,132,161,False
0.0,0.0,#,0.0,1.0,#,1.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,3,50.52126002718195,9999,5154,0.3,0.0011833020046225894,74,74,False
1.0,0.0,1.0,1.0,#,#,#,#,#,0.0,#,#,0.0,#,1.0,0.0,#,#,#,#,0.0,1.0,1.0,1,37.92265178311697,9985,5158,0.4,0.0002960730449677568,25,25,False
0.0,1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,1.0,1.0,3,52.744087989864454,9908,5185,0.3,0.0012353647754790205,85,85,False
1.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,0.09533260567267915,0.7905405405405406,1,25.94087915761874,9883,5196,0.25,0.00020252790140472406,117,148,False
0.0,0.0,#,1.0,#,1.0,#,1.0,#,#,1.0,1.0,#,#,0.0,#,1.0,#,#,#,1.0,1.0,1.0,1,41.467200000000005,9878,5197,0.45,0.0003237463519297663,8,8,False
#,1.0,0.0,0.0,0.0,#,#,#,0.0,#,0.0,0.0,#,#,#,#,#,0.0,0.0,#,0.0,0.03457161303360778,0.7142857142857143,1,58.816,9686,5207,0.45,0.00045919342118833995,5,7,False
0.0,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,6,44.00087304496147,9999,5214,0.3,0.0020611647948302844,90,90,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,12,59.39576925312724,9997,5247,0.25,0.005564638157125281,163,163,False
0.0,1.0,0.0,1.0,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,13,33.709043320936665,9947,5259,0.25,0.003421290500167459,137,137,False
0.0,#,#,1.0,0.0,#,#,#,#,0.0,#,0.0,#,0.0,#,#,#,#,#,#,0.0,0.10455242200936576,0.7978723404255319,1,42.36220629467985,9854,5298,0.3,0.0003307339233803773,75,94,False
1.0,0.0,0.0,0.0,#,0.0,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,1,48.7440554627825,9860,5332,0.35,0.00038055885457272316,28,28,False
1.0,0.0,0.0,0.0,#,0.0,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,1,49.76049666602865,9575,5332,0.35,0.0003884945032661976,31,31,False
#,0.0,1.0,#,1.0,#,1.0,1.0,#,#,#,0.0,0.0,#,#,#,#,#,#,1.0,1.0,0.21405831560130767,0.8571428571428571,1,41.74508283636412,9845,5333,0.4,0.00032591586312263144,24,28,False
0.0,0.0,#,1.0,0.0,#,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,0.04039387151072483,0.7254901960784313,1,36.70209794732117,9987,5341,0.35,0.0044225581299093975,37,51,False
0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,0.0,0.0,#,#,#,#,#,1.0,0.17126137624549945,0.8382352941176471,1,38.72203860571207,9973,5362,0.3,0.0003023140877098732,57,68,False
1.0,1.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,1,55.780908846786105,9734,5380,0.3,0.0004354975919877355,70,70,False
1.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,#,#,#,1.0,1.0,1.0,1,40.8909317452656,9807,5409,0.3,0.0003192472599919649,67,67,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,1.0,1.0,2,55.18032954269851,9954,5451,0.3,0.0008616173933967545,71,71,False
1.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,1.0,1.0,8,55.59999555605342,9956,5463,0.25,0.0034726811993254446,152,152,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,0.0,1.0,1.0,1,42.02754753893537,9945,5472,0.3,0.0003281211462622302,79,79,False
0.0,0.0,#,#,1.0,#,1.0,1.0,#,#,#,#,0.0,#,1.0,#,#,0.0,#,#,1.0,0.18814528037496547,0.8461538461538461,1,40.25539276799999,9966,5544,0.4,0.0003142854244834446,11,13,False
1.0,1.0,1.0,#,0.0,#,0.0,#,#,#,#,1.0,#,#,#,#,#,0.0,#,0.0,0.0,0.524460475048727,0.9375,1,56.090416201728,9889,5557,0.4,0.0004379140048889651,15,16,False
0.0,#,0.0,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,1.0,0.0,1.0,1.0,1,52.01786706974029,9789,5584,0.4,0.0004061184429861659,22,22,False
0.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,0.0,#,#,1.0,#,0.0,0.0,0.0,0.08966986063941502,0.7857142857142857,1,56.2321077248,9534,5594,0.4,0.0004390202313449094,11,14,False
0.0,1.0,1.0,0.0,#,#,#,#,#,#,1.0,0.0,#,0.0,#,#,#,#,#,1.0,1.0,1.0,1.0,1,38.349461864448,9874,5599,0.4,0.0002994052739776192,16,16,False
1.0,1.0,1.0,#,#,#,0.0,#,#,#,#,1.0,#,#,#,#,#,#,0.0,0.0,0.0,1.0,1.0,3,48.32306025876661,9956,5602,0.35,0.0011318160719453896,39,39,False
0.0,0.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.07590360545400188,0.7727272727272727,1,45.88563312594385,9989,5607,0.25,0.0003582423296126084,102,132,False
#,#,1.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,0.0,#,#,#,0.0,0.0,0.34028706643584955,0.8978102189781022,1,48.716597531950256,9957,5686,0.25,0.00038034448261275295,123,137,False
0.0,#,0.0,#,#,0.0,1.0,0.0,#,0.0,0.0,#,#,#,1.0,#,#,#,#,#,0.0,0.5016118252560146,0.9333333333333333,1,36.22318964736,9947,5724,0.4,0.00028280485549043283,14,15,False
1.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,#,#,#,1.0,0.10737418240000006,0.8,1,36.19509530886577,9977,5742,0.3,0.00028258551491288264,48,60,False
1.0,1.0,#,#,#,#,#,0.0,#,#,#,#,1.0,#,#,#,1.0,#,1.0,1.0,1.0,0.23414373537892202,0.8648648648648649,1,53.59236102022138,9970,5747,0.35,0.00041841096991356247,32,37,False
0.0,0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,1.0,#,#,#,#,#,0.0,1.0,1.0,1,48.51745919494336,9867,5753,0.3,0.000378789752364862,50,50,False
0.0,0.0,0.0,0.0,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,2,56.27913333807192,9894,5774,0.3,0.0008787747476545159,74,74,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,6,48.15710002969102,9989,5777,0.3,0.002255857948565995,60,60,False
#,1.0,1.0,#,#,#,0.0,0.0,#,#,#,1.0,#,#,#,1.0,0.0,#,0.0,#,0.0,7.911436545157429e-05,0.3888888888888889,1,43.70586892795904,9828,5789,0.4,0.0003412242838519905,7,18,False
1.0,1.0,0.0,1.0,#,#,#,0.0,#,#,#,#,#,1.0,0.0,#,1.0,#,#,#,1.0,0.0009765625,0.5,1,38.4246989799424,9983,5793,0.4,0.0002999926717684281,9,18,False
#,0.0,1.0,0.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.09915041785690193,0.7936507936507936,1,38.44966641442987,9989,5804,0.3,0.0003001875997074345,50,63,False
0.0,0.0,#,0.0,1.0,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,1.0,0.20052350305125316,0.8515625,1,42.4903931966124,9999,5844,0.25,0.00033173471537660185,109,128,False
